Date Read,Author,Books,Year Published,Pages,Favorite
Jan-74,Georges Lefebvre,The Coming of the French Revolution,1947,220,0
Feb-74,Konrad Lorenz,On Aggression,1966,290,0
Feb-74,Bette Davis,The Lonely Life,1962,254,0
Mar-74,Merle Miller,"Plain Speaking, an Oral Biography of Harry S. Truman",1973,432,0
Mar-74,Vladimir Nabokov,Transparent Things,1972,158,0
Apr-74,Jane Austen,Persuasion,1818,254,0
Apr-74,Jim Bouton,Ball Four,1970,369,0
May-74,Bruce Catton,This Hallowed Ground,1956,495,0
May-74,Jan Morris,Conundrum,1974,174,0
Jul-74,Constantine Fitzgibbon,The Life of Dylan Thomas,1965,346,0
Aug-74,Chogyam Thungpa,Cutting Through Spiritual Materialism,1973,322,0
Aug-74,Peter Benchley,Jaws,1974,272,0
Aug-74,Carlos Castaneda,Journey to Ixtlan,1972,315,0
Aug-74,Chaim Potok,The Chosen,1969,416,0
Oct-74,Sir Arthur Conan Doyle,The Adventures of Sherlock Holmes,1892,248,1
Oct-74,Richard Hofstadter,America at 1750,1973,292,0
Nov-74,Graham Greene,The End of the Affair,1951,240,0
Dec-74,Clive Davis,"Clive, Inside the Record Business",1974,291,0
Feb-75,Robert A. Caro,The Power Broker,1974,1162,1
Jun-75,Henry James,Portrait of a Lady,1881,545,1
Sep-75,Nicholas Meyer,The Seven Per-Cent Solution,1974,234,0
Jan-76,William M. Thackeray,Memoirs of Barry Lyndon,1854,324,0
Feb-76,"Kurt Vonnegut, Jr.",Breakfast of Champions,1973,295,0
Mar-76,F. Scott Fitzgerald,The Last Tycoon,1941,163,0
Apr-76,Rollo May,The Courage to Create,1975,140,0
Apr-76,Aaron Copland,Copland on Music,1960,280,0
Jul-76,Harold Mattingly,The Man in the Roman Street,1966,156,0
Dec-76,Curtis Cate,George Sand,1975,732,0
Dec-76,John S. Shelton,Geology Illustrated,1966,424,1
Dec-76,Saul Bellow,To Jerusalem and Back,1976,182,0
Jan-77,Saul Bellow,Humboldt's Gift,1973,472,1
Feb-77,Robert Wm. Fogel and Stanley L. Engerman,"Time On the Cross, the Economics of American Negro Slavery",1974,264,0
Feb-77,Colin McEvedy,The Penguin Atlas of Medieval History,1961,90,0
Feb-77,R.D. Laing,Do You Love Me?,1976,86,0
Feb-77,C.G. Jung,The Undiscovered Self,1957,125,0
May-77,C.G. Jung,Modern Man in Search of a Soul,1933,244,1
May-77,Charles Chaplin,My Autobiography,1964,497,1
May-77,Margaret Drabble,A Summer Bird-Cage,1963,208,0
Jun-77,Arthur C. Clarke,Childhood's End,1953,218,0
Jul-77,Henry James,The Europeans,1878,173,0
Sep-77,Stephen King,The Shining,1977,447,1
Aug-77,Henry James,The Ambassadors,1903,397,0
Jun-77,Bulfinch,Mythology,1855,236,1
Nov-77,Gail Sheehy,Passages,1976,514,0
Dec-77,William Shakespeare,Richard III,1595,148,0
Dec-77,J. Hector St. John de Crevecoeur,Letters from an American Farmer,1782,225,0
Mar-78,Norman Mailer,"Genius and Lust, a Journey through the Major Writings of Henry Miller",1976,476,0
Apr-78,Charles Darwin,The Origin of Species,1859,460,1
Apr-78,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance,1974,406,1
May-78,Erik Erikson,Childhood and Society,1950,424,1
May-78,Marcel Proust,Swann's Way,1928,325,1
May-78,Columbia College,"Chapters in Western Civilization, Vol. 1",1954,545,0
Jun-78,Plato,"The Last Days of Socrates, Euthyphro, The Apology, Crito, Phaedo",390bc,199,1
Jun-78,Chie Nakane,Japanese Society,1970,151,0
Jun-78,Homer,The Iliad,730bc,459,0
Jun-78,Plato,The Symposium,385bc,122,0
Aug-78,Fyodor Dostoevsky,The Idiot,1869,642,1
Sep-78,Lytton Strachey,Eminent Victorians,1918,338,0
Sep-78,Robertson Davies,Fifth Business,1970,268,1
Nov-78,A.J.P. Taylor,The Second World War,1975,235,0
Feb-79,John McPhee,Coming Into the Country,1976,438,0
Mar-79,William Manchester,The Glory and the Dream,1974,1302,0
May-79,L.N. Tolstoy,Ressurrection,1899,568,0
Jun-79,Paul Bowles,The Sheltering Sky,1949,305,0
Jun-79,Joseph Conrad,Heart of Darkness,1902,111,0
Jul-79,Yukio Mishima,Spring Snow,1968,376,0
Jul-79,James Joll,European History since 1870,1973,486,0
Aug-79,Norman Mailer,Marilyn,1974,262,0
Aug-79,Jean Rhys,"Good Morning, Midnight",1974,190,1
Aug-79,John Irving,The World According to Garp,1976,609,0
Sep-79,Plato,"The Protagoras, The Meno",430bc,157,0
Sep-79,Richard Price,Ladies' Man,1978,264,1
Sep-79,James M. Cain,The Postman Always Rings Twice,1934,120,0
Sep-79,Jean Rhys,Voyage in the Dark,1934,159,1
Sep-79,Adam Smith,The Wealth of Nations,1776,347,0
Nov-79,John C. Brandt and Stephen P. Maran,New Horizons in Astronomy,1979,533,0
Nov-79,Margaret Mead,Male and Female,1949,344,0
Nov-79,Friedrich Nietzsche,Ecco Homo,1888,134,0
Nov-79,A. Alvarez,The Savage God,1971,272,0
Nov-79,Thomas Hardy,Jude the Obscure,1896,511,1
Dec-79,George Santayana,The Sense of Beauty,1896,164,0
Dec-79,Jonathan Swift,Gulliver's Travels,1726,360,1
Dec-79,W.B. Yeats,Autobiography,1922,387,0
Dec-79,John Reed,Ten Days that Shook the World,1926,351,0
Jan-80,Isaac Bashevis Singer,The Slave,1962,287,1
Jan-80,John Dewey,Liberalism and Social Action,1935,93,0
Jan-80,Studs Turkel,Working,1972,762,0
Feb-80,Charles Dickens,Great Expectations,1861,512,0
Jul-80,Jean-Jacques Rousseau,"Botany, a study of pure curiosity",1781,122,0
Jul-80,Henry James,The American,1875,325,0
Jul-80,Len Jenkin,New Jerusalem,1985,204,0
Sep-80,Jean Dorst,"The Life of Birds, vol. 1",1971,341,1
Sep-80,Marcel Proust,Within a Budding Grove,1920,386,1
Oct-80,Lester C. Thurow,The Zero-Sum Society,1980,214,0
Nov-80,John Huston,An Open Book,1980,373,0
Nov-80,Mordecai Richler,"Joshua, Then and Now",1980,435,0
Jan-81,W.X.C. Guthrie,Socrates,1969,187,0
Jan-81,Jonathan Miller,The Body in Question,1978,341,0
Feb-81,Edward Gibbon,The Decline and Fall of the Roman Empire (Abridged),1787,713,1
Feb-81,J.P. Donleavy,"The Destinies of Darcy Dancer, Gentleman",1977,402,1
Mar-81,James Joyce,A Portrait of the Artist as a Young Man,1916,253,1
Mar-81,John Steinbeck,The Acts of King Arthur and His Noble Knights,1976,349,0
Jun-81,J.D. Salinger,"uncollected short stories, vol. 2 (containing ""The Inverted Forest"")",1947,107,0
Jun-81,Gary Zukav,The Dancing Wu Li Masters,1979,332,1
Jun-81,Johann Wolfgang Goethe,Faust (part one),1805,197,0
Jul-81,David Halberstam,The Powers That Be,1979,1027,1
Jul-81,Laurie Lee,As I Walked Out One Midsummer Morning,1969,186,0
Jul-81,Benvenuto Cellini,Autobiography,1562,397,0
Aug-81,Isaac Bashevis Singer,Lost in America,1981,259,0
Sep-81,Charles Dickens,Nicholas Nickleby,1839,934,0
Oct-81,Jack London,Martin Eden,1909,348,0
Oct-81,Henry James,Washington Square,1880,174,0
Oct-81,Aristotle,On Poetry and Style,350bc,106,0
Oct-81,Saint Augustine,Confessions,398ad,347,1
Nov-81,Joan Edelman Spero,The Politics of International Economic Relations,1981,334,0
Nov-81,Francois Rabelais,Gargantua and Pantagruel,1534,712,0
Dec-81,David Halberstam,The Breaks of the Game,1981,360,0
Dec-81,Immanuel Kant,Foundations of the Metaphysics of Morals,1785,92,0
Dec-81,Einhard,The Life of Charlemagne,830,67,0
Jan-82,David Hume,An Enquiry Concerning Human Understanding,1748,124,0
Jan-82,Miguel de Cervantes Saavedra,Don Quixote,1604,940,1
Jan-82,Virginia Woolf,A Room of One's Own,1929,118,1
Jan-82,Gustave Flaubert,The Dictionary of Accepted Ideas,1882,92,0
Feb-82,Baldesar Castiglione,The Book of the Courtier,1518,345,1
Feb-82,Charles Major,When Knighthood Was in Flower,1898,294,0
Feb-82,Giovanni Pico della Mirandola,Oration on the Dignity of Man,1487,69,0
Feb-82,"David C. Gompert, Michael Mandelbaum, Richard L. Garwin, John H. Barton",Nuclear Weapons and World Politics,1977,354,0
Mar-82,D.M. Thomas,The White Hotel,1981,240,1
Mar-82,"Willard Gaylin, Ira Glasser, Steven Marcus, David Rochman",Doing Good(The Limits of Benevolence),1978,168,0
Apr-82,Jane Austen,Emma,1816,471,0
Apr-82,John Calvin,On God and Political Duty,1535,121,0
Apr-82,Leon Edel,Henry James - The Middle Years: 1882--1895,1962,389,1
May-82,Milan Kundera,The Book of Laughter and Forgetting,1980,237,0
May-82,Yukio Mishima,Runaway Horses,1969,423,0
May-82,Albert Einstein,The World As I See It,1932,112,0
May-82,Ivan Turgenev,First Love,1860,107,0
May-82,Vincent Wright,The Government and Politics of France,1978,253,0
May-82,Jean Rhys,Wide Sargasso Sea,1966,156,0
May-82,Lionel Trilling,Sincerity and Authenticity,1971,158,0
May-82,Christopher Isherwood,Prater Violet,1945,160,0
Jun-82,Johan Huizinga,The Waning of the Middle Ages,1919,335,1
Jun-82,Honoré de Balzac,The Black Sheep,1842,339,1
Jun-82,Martin Buber,On Judaism,1951,231,0
Jun-82,David Sylvester,Napoleon and the French Empire,1978,90,0
Jul-82,Robert S. Lopez,The Three Ages of the Italian Renaissance,1970,74,0
Jul-82,Marie Sandoz,Crazy Horse,1942,413,0
Aug-82,David McClintick,Indecent Exposure,1982,521,0
Sep-82,Fyodor Dostoevsky,The Adolescent,1874,599,0
Oct-82,Robert Graves,Goodbye to All That,1929,347,0
Oct-82,Robert G. Weisbord,Ebony Kinship,1973,220,1
Oct-82,Marc Bloch,Feudal Society Vol. 1,1940,279,0
Nov-82,John Updike,Bech is Back,1982,195,0
Dec-82,Bible,The Book of Job,1488,63,0
Dec-82,Robin Lane Fox,The Search for Alexander,1980,441,0
Dec-82,James Joyce,Stephen Hero,1906,253,0
Dec-82,William Shakespeare,Antony and Cleopatra,1607,133,0
Dec-82,Lawrence Durrell,Justine,1957,245,0
Feb-83,William James,The Varieties of Religious Experience,1902,500,1
Feb-83,André Breton,Nadja,1928,160,0
Feb-83,Stephen Jay Gould,Ever Since Darwin,1977,271,0
Feb-83,Mikhail Bulgakov,The Master and Margarita,1940,402,0
Mar-83,John Le Carré,"Tinker, Tailor, Soldier, Spy",1974,317,0
Mar-83,Thornton Wilder,The Bridge of San Luis Rey,1927,124,1
Apr-83,Various,"Introduction to Contemporary Civilization in the West, Vol. 1",1960,880,0
May-83,Jean-Jacques Rousseau,The Confessions,1781,606,0
May-83,Tom Wolfe,The Painted Word,1975,120,0
Jun-83,Patrick Humphries,Bookends - The Simon and Garfunkel Story,1982,186,0
Jun-83,Emil Ludwig,Napoleon,1926,682,1
Jul-83,Jean-Jacques Rousseau,The Social Contract and ,1762,226,0
Jul-83,Jean-Jacques Rousseau,The Social Contract and Discourse on the Origin of Inequality,1762,226,0
Aug-83,Arnt Eliassen and Kaare Pedersen,"Meteorology, an Introductory Course, Vol. 1 chapters 1, 2, 3",1977,135,0
Aug-83,Jean-Jacques Rousseau,Reveries of the Solitary Walker,1778,155,0
Aug-83,Henry David Thoreau,Walden,1854,247,1
Aug-83,Peter Gay,The Enlightenment (The Rise of Modern Pagasm) *,1966,419,1
Aug-83,Plutarch,Makers of Rome (from Lives),100,366,0
Sep-83,Basho,The Narrow Road to the Deep North,1690,147,0
Sep-83,W. Somerset Maugham,The Razor's Edge,1944,314,1
Sep-83,Aaron Copland,Copland on Music,1959,280,0
Sep-83,Moliere,'The Misanthrope' (a play),1666,55,0
Sep-83,Dylan Thomas,Portrait of the Artist as a Young Dog,1940,128,0
Sep-83,Isaac Asimov,The Human Body,1963,309,0
Sep-83,Vladimir Nabokov,Lectures on Literature,1980,382,1
Sep-83,Aeschylus,The Oresteian Trilogy,480bc,203,0
Oct-83,Sophocles,'Electra' (a play),435bc,55,0
Oct-83,William Shakespeare,'Trolius and Cressida',1602,152,0
Oct-83,Cicero,Selected Works,60bc,160,0
Nov-83,Elie Wiesel,The Testament,1981,261,0
Nov-83,Tom Stoppard,Albert's Bridge,1969,116,0
Nov-83,Tom Stoppard,If You're Glad I'll Be Frank,1969,116,0
Nov-83,Tom Stoppard,Artist Descending a Staircase,1973,116,0
Nov-83,"Sappho, Pindar, Solon, and 23 others",Greek Lyrics,500bc,82,0
Dec-83,Robertson Davies,One Half of Robertson Davies,1978,286,0
Dec-83,Basile Kerblay,Modern Soviet Society,1983,306,0
Jan-84,James Joyce,Ulysses,1921,783,1
Jan-84,Jim Harrison,Farmer,1976,160,0
Jan-84,Michel de Montaigne,Travel Journal,1580,175,0
Feb-84,Richard Price,Ladies' Man,1978,264,0
Feb-84,William Maxwell,"So Long, See You Tomorrow",1980,149,0
Feb-84,William Shakespeare,Ages of Man: readings by John Gielgud,1600,93,0
Mar-84,J.D. Salinger,Nine Stories,1953,198,1
Mar-84,W. Edward Mann and Edward Hoffman,The Man Who Dreamed of Tomorrow: The Life and Thought of Wilhelm Reich,1980,253,0
Mar-84,Hallie Burnett,On Writing the Short Story,1983,148,0
Apr-84,J.D. Salinger,"Uncollected Short Stories, Vol. 1",1946,89,0
Apr-84,"William Strunk, Jr. and E.B. White",The Elements of Style,1959,43,0
Apr-84,Thomas Mann,The Confessions of Felix Krull Confidence Man (The Early Years),1955,378,1
Apr-84,Guy de Maupassant,A Woman's Life,1883,202,0
Apr-84,Thomas Hardy,The Distracted Preacher' and four other short stories,1888,175,0
May-84,Anton Chekhov,'The Kiss' and other short stories,1902,168,0
May-84,Olivia Coolidge,George Bernard Shaw,1968,226,0
May-84,Anthony Burgess,Ninety-nine Novels,1984,156,0
May-84,George Bernard Shaw,Saint Joan,1924,158,0
May-84,L.N. Tolstoy,The Portable Tolstoy,1908,429,0
May-84,John Dover Wilson,Life in Shakespeare's England,1634,345,0
May-84,L.N. Tolstoy,What is Art?,1896,191,1
May-84,Henrik Ibsen,A Doll's House,1879,103,0
Jun-84,Bob Woodward,Wired: The Short Life and Fast Times of John Belushi,1984,423,0
Jun-84,Plato,The Republic,375bc,455,0
Jun-84,Robert H. March,Physics for Poets,1970,253,0
Jul-84,Gore Vidal,Creation,1981,593,0
Jul-84,Italo Calvino,The Baron in the Trees,1959,217,0
Jul-84,Alexander L. George,Managing U.S. - Soviet Rivalry,1983,397,0
Jul-84,J.W. Goethe,Italian Journey,1786,398,0
Aug-84,Frederick Exley,A Fan's Notes,1968,353,0
Aug-84,Ivan Turgenev,Fathers and Sons,1861,295,0
Aug-84,Edmund Wilson,Axel's Castle,1931,235,0
Sep-84,C.S. Forster,Mr. Midshipman Hornblower,1941,252,0
Oct-84,Alexander Pushkin,Eugene Onegin,1830,233,0
Oct-84,Mikhail Lermontov,A Hero of Our Time,1839,185,0
Oct-84,Colin McEvedy,"The Penguin Atlas of Recent History, Europe since 1815",1982,90,0
Oct-84,Gustav Flaubert,"""A Simple Heart"", ""The Legend of St. Julian Hospitator""",1876,87,0
Oct-84,Iris Murdoch,A Severed Head,1961,205,1
Oct-84,Jean de La Fontaine,Selected Fables,1693,141,0
Oct-84,William Shakespeare,Othello,1604,154,0
Oct-84,Réné Descartes,Meditations on First Philosophy,1641,56,0
Oct-84,Alan Sillitoe,The Loneliness of the Long Distance Runner,1959,144,0
Oct-84,W.E.B. Dubois,The Souls of Black Folk,1903,278,0
Oct-84,James Salter,Light Years,1975,308,0
Nov-84,Milan Kundera,The Unbearable Lightness of Being,1984,314,0
Dec-84,E.M.W. Tillyard,The Elizabethan World Picture,1958,109,0
Dec-84,Bruno Bettelheim,The Uses of Enchantment,1975,310,0
Jan-85,William M. Thackeray,Vanity Fair,1847,636,1
Jan-85,Knut Hamsun,Mysteries,1892,254,0
Jan-85,Susan Cheever,Home Before Dark,1984,243,0
Feb-85,Thornton Wilder,The Ides of March,1948,204,1
Feb-85,A.J.P. Taylor,Revolutions and Revolutionaries,1980,160,0
Mar-85,Arkady N. Shevchenko,Breaking with Moscow,1985,370,0
Mar-85,Constantin Stanislavski,An Actor Prepares,1936,295,1
Apr-85,Michael White,Empty Seats,1984,190,0
Apr-85,Constantin Stanislavski,Creating a Role,1938,262,0
Apr-85,Richard Price,The Breaks,1983,446,0
May-85,Robert Stone,A Flag for Sunrise,1977,440,0
May-85,David Shapiro,Neurotic Styles,1965,199,0
May-85,Richard S. Dunn,The Age of Religious Wars 1559-1715,1970,302,0
May-85,Harriet Beecher Stowe,Uncle Tom's Cabin,1852,590,1
May-85,Anthony Burgess,This Man & Music,1982,192,0
Jun-85,Victor Hugo,Notre Dame of Paris,1831,493,0
Jun-85,Lucretius,On the Nature of the Universe,54bc,256,1
Jun-85,Leonardo Da Vinci,The Codex Leicester,1507,175,0
Jun-85,Howard Greenfeld,Caruso,1983,254,0
Jul-85,Marcel Proust,The Guermantes Way,1925,425,1
Jul-85,Frances Fitzgerald,Fire in the Lake,1972,590,0
Aug-85,Nora Ephron,Heartburn,1983,223,0
Aug-85,Fritjof Capra,The Tao of Physics,1975,311,0
Aug-85,Lao Tsu,Tao Te Ching,600bc,81,1
Sep-85,Leon Edel,Bloomsbury - A House of Lions,1979,299,0
Sep-85,Judith Martin,Miss Manners Guide to Excruciatingly Correct Behavior,1979,555,0
Sep-85,L.N. Tolstoy,Confession,1879,93,1
Sep-85,Alice Walker,The Color Purple,1982,251,0
Oct-85,Richard Ellmann,James Joyce,1959,744,1
Oct-85,E.F. Benson,Queen Lucia part 1,1920,318,0
Oct-85,James Joyce,Dubliners,1905,223,0
Oct-85,Thomas Hardy,The Mayor of Casterbridge,1886,411,0
Oct-85,Henry Chadwick,The Early Church,1967,289,0
Oct-85,Herodotus,The Histories,446bc,624,1
Nov-85,Edith Wharton,The House of Mirth,1905,329,1
Nov-85,J.K. Galbraith,A China Passage,1973,138,0
Nov-85,Arthur Schopenhauer,Essays and Aphorisms,1851,236,0
Nov-85,Luigi Barzini,The Europeans,1983,267,0
Nov-85,Rollo May,My Quest for Beauty,1985,243,0
Dec-85,Carl Sagan,Cosmos,1980,286,0
Dec-85,Eugen Herrigel,Zen in the Art of Archery,1953,90,0
Dec-85,David Hume,Dialogues Concerning Natural Religion,1775,105,0
Dec-85,Julius Caesar,The Conquest of Gaul,52bc,236,0
Dec-85,Mark Twain,A Connecticut Yankee in King Arthur's Court,1889,331,0
Dec-85,Richard Hudson,Linguistics,1984,166,0
Jan-86,Virgil,The Aeneid,30bc,336,1
Jan-86,Various,The Colour of Saying Anthology of Verse,1963,170,0
Mar-86,Gene A. Brucker,Renaissance Florence,1969,280,0
Mar-86,Edward I. Koch,Politics,1985,246,0
Mar-86,Giorgio Vasari,Lives of the Artists,1568,477,0
Apr-86,Julian Jaynes,The Origin of Consciousness in the Breakdown of the Bicameral Mind,1976,446,1
Apr-86,G. William Domhoff,Who Rules America Now?,1983,223,0
May-86,Martin Heidegger,"Poetry, Language, Thought",1971,229,0
Jun-86,Alan S. Parkes,Patterns of Sexuality and Reproduction,1976,141,0
Jul-86,Edmund Gosse,Father and Son,1907,251,0
Sep-86,John Gardner,Self-Renewal,1981,127,0
Sep-86,Dante Alighieri,Inferno,1314,180,0
Sep-86,E.M. Forster,Howard's End,1910,271,0
Sep-86,Gaston Bachelard,The Poetics of Space,1958,241,0
Sep-86,William Kennedy,Ironweed,1983,227,1
Oct-86,Homer,The Odyssey,700bc,365,0
Oct-86,James Joyce,"Selected Letters, edited by Richard Ellman",1957,409,0
Nov-86,Moss Hart,Act One,1959,383,0
Nov-86,Vladimir Nabokov,The Enchanter,1939,95,1
Nov-86,Ralph Waldo Emerson,"The Heart of Emerson's Journals, 1820-75",1875,338,0
Dec-86,Harold C. Schonberg,The Lives of the Great Composers,1970,627,1
Dec-86,David A. Stockman,The Triumph of Politics,1986,411,1
Dec-86,Stanislaus Joyce,The Dublin Diary of Stanislaus Joyce,1904,114,0
Jan-87,Thomas Hobbes,Leviathan,1651,729,1
Feb-87,Rainer Maria Rilke,Letters to Benvenuta,1914,87,0
Feb-87,Douglass H. Morse,Behavioral Mechanisms in Ecology,1980,320,0
Apr-87,Mark Twain and Charles Dudley Warner,The Gilded Age,1873,222,0
Apr-87,Arthur Power,Conversations with James Joyce,1974,111,0
May-87,Jacques Barzun,The Use and Abuse of Art,1974,150,0
May-87,V.S. Naipaul,Among the Believers (an Islamic Journey),1980,430,0
May-87,Carrie Fisher,Postcards from the Edge,1987,218,1
Jun-87,Michel Montaigne,Essays,1580,406,0
Jun-87,Marcel Proust,Cities of the Plain,1913,378,1
Jun-87,Peter Gay,The Bourgeois Experience Education of the Senses,1984,460,0
Jun-87,Sigmund Freud,The Ego and the Id,1923,49,0
Jul-87,V.I. Lenin,"Imperialism, The Highest Stage of Capitalism",1916,128,0
Jul-87,Larry McMurtry,Lonesome Dove,1985,945,0
Jul-87,A.J. Liebling,Between Meals,1959,185,0
Jul-87,Peter Fornatale & Joshua E. Mills,Radio in the Television Age,1980,196,0
Jul-87,Martin Amis,Einstein's Monsters,1987,149,0
Jul-87,Barry Lopez,Arctic Dreams,1986,372,0
Jul-87,Doris Lessing,The Golden Notebook,1962,666,0
Aug-87,Various,"The Practical Cogitator, The Thinker's Anthology",1945,644,0
Aug-87,James Branch Cabell,Jurgen,1919,368,0
Aug-87,Heinrich Heine,Deutschland,1843,100,0
Sep-87,Max I. Dimont,"Jews, God and History",1962,371,0
Sep-87,Jorge Luis Borges,An Introduction to American Literature,1967,90,0
Sep-87,Marco Polo,The Travels,1298,345,0
Sep-87,Martin Heidegger,Discourse on Thinking,1955,90,0
Sep-87,John A. Wilson,The Culture of Ancient Egypt,1951,318,0
Oct-87,Denis Diderot,Rameau's Nephew,1761,125,0
Oct-87,Rudyard Kipling,Just So Stories,1902,158,1
Oct-87,Peter Ladefoged,Elements of Acoustic Phonetics,1962,108,1
Oct-87,Friedrich Nietzche,A Nietzsche Reader,1880,284,0
Oct-87,Jane Austen,Mansfield Park,1814,464,0
Oct-87,C.P. Snow,The Two Cultures & A Second Look,1964,100,0
Nov-87,Mark Twain,Life on the Mississippi,1882,352,1
Nov-87,Zbigniew Brzezinski,Game Plan,1986,273,0
Nov-87,Honoré de Balzac,Ursule Mirouet,1841,266,0
Nov-87,Celia McEvedy,The Penguin Atlas of Ancient History,1967,92,0
